Grape,Country,Wine name,Wine rating average,Wine ratings count
Chardonnay,us,Cabernet Sauvignon,4.8,2941
Chardonnay,it,Amarone della Valpolicella Classico Riserva,4.8,587
Chardonnay,it,Fratini Bolgheri Superiore,4.8,153
Chardonnay,fr,Cristal Rosé Vinothèque,4.8,88
Chardonnay,fr,Batard-Montrachet Grand Cru,4.8,34
Chardonnay,fr,Sauternes,4.7,44126
Chardonnay,us,Special Selection Cabernet Sauvignon,4.7,41236
Chardonnay,fr,Pomerol,4.7,32157
Chardonnay,au,Grange,4.7,24356
Chardonnay,it,Toscana,4.7,16284
Chardonnay,fr,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
Chardonnay,it,Amarone della Valpolicella Classico,4.7,8900
Chardonnay,it,Amarone della Valpolicella Monte Lodoletta,4.7,7947
Chardonnay,fr,Châteauneuf-du-Pape,4.7,7544
Chardonnay,fr,P2 Plénitude Brut Champagne,4.7,7543
Chardonnay,us,Harlan Estate Red,4.7,7231
Chardonnay,fr,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,6597
Chardonnay,it,Cerretalto Brunello di Montalcino,4.7,5373
Chardonnay,it,Barolo Riserva Monfortino,4.7,5013
Chardonnay,fr,Chambertin Grand Cru,4.7,3401
Chardonnay,us,IX Estate Red,4.7,2810
Chardonnay,it,Veneto Alzero Cabernet,4.7,2600
Chardonnay,fr,Clos du Mesnil,4.7,2471
Chardonnay,fr,Collection,4.7,2184
Chardonnay,fr,Pomerol,4.7,2164
Chardonnay,it,Harlequin,4.7,1276
Chardonnay,it,La Mattonara Amarone della Valpolicella Classico Riserva,4.7,1196
Chardonnay,it,Recioto della Valpolicella Classico,4.7,1045
Chardonnay,au,The Laird,4.7,627
Chardonnay,it,De Buris Amarone della Valpolicella Classico Riserva,4.7,574
Chardonnay,fr,Montrachet Grand Cru,4.7,516
Chardonnay,fr,Montrachet Grand Cru,4.7,459
Chardonnay,fr,Cristal Vinothèque,4.7,426
Chardonnay,fr,Échézeaux Grand Cru,4.7,359
Chardonnay,it,Fieramonte Amarone della Valpolicella Riserva,4.7,315
Chardonnay,it,Permassimo,4.7,186
Chardonnay,fr,Ligne de Crete Les Grandes Vignes Hermitage,4.7,76
Chardonnay,us,Cabernet Sauvignon,4.6,157944
Chardonnay,fr,Brut Champagne,4.6,146377
Chardonnay,it,Sassicaia,4.6,107646
Chardonnay,us,Opus One,4.6,77053
Chardonnay,fr,Pauillac (Premier Grand Cru Classé),4.6,73615
Chardonnay,it,Bolgheri Superiore,4.6,47939
Chardonnay,fr,Château Margaux (Premier Grand Cru Classé),4.6,45350
Chardonnay,fr,Cristal Brut Champagne (Millésimé),4.6,42456
Chardonnay,fr,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
Chardonnay,fr,Pauillac (Premier Grand Cru Classé),4.6,39283
Chardonnay,fr,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
Chardonnay,it,Tenuta Tignanello 'Solaia',4.6,33143
Chardonnay,us,Insignia,4.6,30674
Chardonnay,fr,Grande Cuvée,4.6,28513
Chardonnay,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198
Chardonnay,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,22896
Chardonnay,fr,Vintage,4.6,16918
Chardonnay,us,Rutherford,4.6,16322
Chardonnay,fr,Brut Rosé Champagne,4.6,13747
Chardonnay,us,Cabernet Sauvignon (Signature),4.6,13730
Chardonnay,fr,Sir Winston Churchill Brut Champagne,4.6,12873
Chardonnay,it,'Giulio Ferrari' Riserva del Fondatore,4.6,12592
Chardonnay,it,Sperss Barolo,4.6,10950
Chardonnay,it,Kurni Marche,4.6,10261
Chardonnay,ar,Nosotros Single Vineyard Nómade,4.6,9995
Chardonnay,us,CASK 23 Cabernet Sauvignon,4.6,9464
Chardonnay,fr,L'Hermitage,4.6,8592
Chardonnay,fr,R.D Extra Brut Champagne (Récemment Dégorgé),4.6,7737
Chardonnay,us,Continuum Estate,4.6,6949
Chardonnay,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,6637
Chardonnay,us,Rubicon,4.6,6421
Chardonnay,us,Cabernet Sauvignon,4.6,5927
Chardonnay,fr,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
Chardonnay,fr,Blanc des Millénaires,4.6,5581
Chardonnay,fr,Saint-Émilion Grand Cru,4.6,5390
Chardonnay,fr,Côte-Rôtie La Turque,4.6,4891
Chardonnay,fr,Côte-Rôtie La Mouline,4.6,4380
Chardonnay,fr,Côte-Rôtie La Landonne,4.6,4068
Chardonnay,us,Les Pavots,4.6,4010
Chardonnay,it,Sorì Tildìn (Barbaresco) Langhe,4.6,3955
Chardonnay,it,Lodovico,4.6,3860
Chardonnay,it,Sorì San Lorenzo,4.6,3857
Chardonnay,it,Veneto Rosso del Bepi,4.6,3747
Chardonnay,us,Red,4.6,3639
Chardonnay,fr,Rosé,4.6,3605
Chardonnay,fr,Musigny Grand Cru (Cuveé Vieilles Vignes),4.6,3533
Chardonnay,it,Brunello di Montalcino Riserva,4.6,3375
Chardonnay,us,Au Paradis Cabernet Sauvignon,4.6,3004
Chardonnay,it,Campo del Titari Amarone della Valpolicella Classico Riserva,4.6,2946
Chardonnay,it,Costa Russi (Barbaresco) Langhe,4.6,2876
Chardonnay,it,Calcarole Amarone della Valpolicella Classico,4.6,2757
Chardonnay,fr,Chevalier-Montrachet Grand Cru,4.6,2340
Chardonnay,us,La Joie,4.6,2285
Chardonnay,it,Campo Inferi Amarone della Valpolicella Classico Riserva,4.6,2112
Chardonnay,fr,Montrachet Grand Cru Marquis de Laguiche,4.6,1970
Chardonnay,fr,Pignan Châteauneuf-du-Pape Réserve Rouge,4.6,1881
Chardonnay,it,Tenuta Guado al Tasso Matarocchio,4.6,1875
Chardonnay,fr,Chateauneuf-du-Pape Réserve des Célestins,4.6,1633
Chardonnay,it,Brunello di Montalcino Riserva,4.6,1589
