Grape,Country,Wine name,Wine rating average,Wine ratings count
Pinot Noir,us,Cabernet Sauvignon,4.8,2941
Pinot Noir,fr,Cristal Rosé Vinothèque,4.8,88
Pinot Noir,fr,Batard-Montrachet Grand Cru,4.8,34
Pinot Noir,fr,Sauternes,4.7,44126
Pinot Noir,us,Special Selection Cabernet Sauvignon,4.7,41236
Pinot Noir,fr,Pomerol,4.7,32157
Pinot Noir,fr,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
Pinot Noir,fr,Châteauneuf-du-Pape,4.7,7544
Pinot Noir,fr,P2 Plénitude Brut Champagne,4.7,7543
Pinot Noir,us,Harlan Estate Red,4.7,7231
Pinot Noir,fr,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,6597
Pinot Noir,fr,Chambertin Grand Cru,4.7,3401
Pinot Noir,us,IX Estate Red,4.7,2810
Pinot Noir,fr,Clos du Mesnil,4.7,2471
Pinot Noir,fr,Collection,4.7,2184
Pinot Noir,fr,Pomerol,4.7,2164
Pinot Noir,fr,Montrachet Grand Cru,4.7,516
Pinot Noir,fr,Montrachet Grand Cru,4.7,459
Pinot Noir,fr,Cristal Vinothèque,4.7,426
Pinot Noir,fr,Échézeaux Grand Cru,4.7,359
Pinot Noir,fr,Ligne de Crete Les Grandes Vignes Hermitage,4.7,76
Pinot Noir,us,Cabernet Sauvignon,4.6,157944
Pinot Noir,fr,Brut Champagne,4.6,146377
Pinot Noir,us,Opus One,4.6,77053
Pinot Noir,fr,Pauillac (Premier Grand Cru Classé),4.6,73615
Pinot Noir,fr,Château Margaux (Premier Grand Cru Classé),4.6,45350
Pinot Noir,fr,Cristal Brut Champagne (Millésimé),4.6,42456
Pinot Noir,fr,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
Pinot Noir,fr,Pauillac (Premier Grand Cru Classé),4.6,39283
Pinot Noir,fr,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
Pinot Noir,us,Insignia,4.6,30674
Pinot Noir,fr,Grande Cuvée,4.6,28513
Pinot Noir,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198
Pinot Noir,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,22896
Pinot Noir,fr,Vintage,4.6,16918
Pinot Noir,us,Rutherford,4.6,16322
Pinot Noir,fr,Brut Rosé Champagne,4.6,13747
Pinot Noir,us,Cabernet Sauvignon (Signature),4.6,13730
Pinot Noir,fr,Sir Winston Churchill Brut Champagne,4.6,12873
Pinot Noir,us,CASK 23 Cabernet Sauvignon,4.6,9464
Pinot Noir,fr,L'Hermitage,4.6,8592
Pinot Noir,fr,R.D Extra Brut Champagne (Récemment Dégorgé),4.6,7737
Pinot Noir,us,Continuum Estate,4.6,6949
Pinot Noir,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,6637
Pinot Noir,us,Rubicon,4.6,6421
Pinot Noir,us,Cabernet Sauvignon,4.6,5927
Pinot Noir,fr,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
Pinot Noir,fr,Blanc des Millénaires,4.6,5581
Pinot Noir,fr,Saint-Émilion Grand Cru,4.6,5390
Pinot Noir,fr,Côte-Rôtie La Turque,4.6,4891
Pinot Noir,fr,Côte-Rôtie La Mouline,4.6,4380
Pinot Noir,fr,Côte-Rôtie La Landonne,4.6,4068
Pinot Noir,us,Les Pavots,4.6,4010
Pinot Noir,us,Red,4.6,3639
Pinot Noir,fr,Rosé,4.6,3605
Pinot Noir,fr,Musigny Grand Cru (Cuveé Vieilles Vignes),4.6,3533
Pinot Noir,us,Au Paradis Cabernet Sauvignon,4.6,3004
Pinot Noir,fr,Chevalier-Montrachet Grand Cru,4.6,2340
Pinot Noir,us,La Joie,4.6,2285
Pinot Noir,fr,Montrachet Grand Cru Marquis de Laguiche,4.6,1970
Pinot Noir,fr,Pignan Châteauneuf-du-Pape Réserve Rouge,4.6,1881
Pinot Noir,fr,Chateauneuf-du-Pape Réserve des Célestins,4.6,1633
Pinot Noir,us,Maya,4.6,1570
Pinot Noir,us,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,1557
Pinot Noir,fr,Vin de Pays de l'Hérault Blanc,4.6,1209
Pinot Noir,fr,Bâtard-Montrachet Grand Cru,4.6,1191
Pinot Noir,us,Reserve,4.6,1175
Pinot Noir,fr,La Grande Dame Brut Rosé Champagne,4.6,1118
Pinot Noir,fr,Musigny Grand Cru,4.6,739
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.6,719
Pinot Noir,fr,Vosne-Romanée Premier Cru Aux Reignots,4.6,645
Pinot Noir,us,Cabernet Sauvignon Coeur De Vallée,4.6,544
Pinot Noir,fr,Montrachet Grand Cru,4.6,495
Pinot Noir,fr,L'Extravagant de Doisy-Daëne Sauternes,4.6,465
Pinot Noir,fr,Montrachet Grand Cru,4.6,269
Pinot Noir,fr,Clos de Tart Grand Cru,4.6,214
Pinot Noir,us,Cabernet Sauvignon,4.6,152
Pinot Noir,us,EABA,4.6,151
Pinot Noir,fr,Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),4.6,149
Pinot Noir,us,Lithology Cabernet Sauvignon,4.6,148
Pinot Noir,fr,Musigny Grand Cru,4.6,128
Pinot Noir,fr,Bienvenues-Bâtard-Montrachet Grand Cru,4.6,76
Pinot Noir,fr,Collection Vintage 2000 Brut,4.6,58
Pinot Noir,fr,Les Riceys Cuvée Cyriès Brut Millesimé Champagne,4.6,43
Pinot Noir,fr,Clos Saint-Denis Grand Cru,4.6,40
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.6,35
Pinot Noir,fr,Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',4.6,34
Pinot Noir,us,Papillon,4.5,30682
Pinot Noir,fr,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026
Pinot Noir,fr,Comtes de Champagne Blanc de Blancs,4.5,27449
Pinot Noir,fr,La Grande Année Brut Champagne,4.5,24646
Pinot Noir,us,Dominus (Christian Moueix),4.5,22117
Pinot Noir,fr,Belle Epoque Brut Champagne,4.5,20992
Pinot Noir,us,Isosceles,4.5,18920
Pinot Noir,fr,Dom Ruinart Blanc de Blancs Brut Champagne,4.5,18466
Pinot Noir,fr,La Grande Dame Brut Champagne,4.5,17474
Pinot Noir,us,Overture,4.5,16804
Pinot Noir,us,One Point Five Cabernet Sauvignon,4.5,16341
Pinot Noir,fr,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975
Pinot Noir,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671
Pinot Noir,fr,Pomerol,4.5,12214
Pinot Noir,us,Monte Bello,4.5,11978
Pinot Noir,us,FAY Cabernet Sauvignon,4.5,10840
Pinot Noir,fr,Grand Siècle Champagne (Grande Cuvée),4.5,9824
Pinot Noir,fr,Pomerol,4.5,9531
Pinot Noir,fr,Vin de Pays de l'Hérault,4.5,8933
Pinot Noir,fr,Silex,4.5,8386
Pinot Noir,us,Relentless,4.5,6633
Pinot Noir,us,S.L.V. Cabernet Sauvignon,4.5,6560
Pinot Noir,us,Howell Mountain Cabernet Sauvignon,4.5,6466
Pinot Noir,fr,Cuvée Nicolas François Billecart Brut Champagne,4.5,6228
Pinot Noir,fr,Hommage à Jacques Perrin Châteauneuf-du-Pape,4.5,6121
Pinot Noir,fr,Amour de Deutz Millésimé Brut Champagne,4.5,5532
Pinot Noir,fr,Clos de Tart Grand Cru Monopole,4.5,4948
Pinot Noir,fr,MV,4.5,4763
Pinot Noir,fr,Clos des Goisses Champagne,4.5,4662
Pinot Noir,fr,Clos Sainte Hune Riesling Alsace,4.5,4106
Pinot Noir,us,Cabernet Sauvignon,4.5,3087
Pinot Noir,fr,Bonnes-Mares Grand Cru,4.5,2595
Pinot Noir,fr,Coteau de Vernon Condrieu,4.5,2015
Pinot Noir,fr,Les Poyeux Saumur Champigny,4.5,2005
Pinot Noir,us,La Muse,4.5,1948
Pinot Noir,fr,Les Clos Chablís Grand Cru,4.5,1750
Pinot Noir,fr,Cuvée des Enchanteleurs Brut Champagne,4.5,1732
Pinot Noir,us,Le Désir,4.5,1694
Pinot Noir,fr,Chablis Grand Cru 'Valmur',4.5,1653
Pinot Noir,fr,Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,4.5,1640
Pinot Noir,fr,N.P.U. Extra Brut Champagne (Nec Plus Ultra),4.5,1482
Pinot Noir,us,Blueline Estate Cabernet Sauvignon,4.5,1321
Pinot Noir,fr,Echezeaux Grand Cru,4.5,1311
Pinot Noir,fr,Richebourg Grand Cru,4.5,1296
Pinot Noir,fr,Le Bourg Saumur Champigny,4.5,1264
Pinot Noir,fr,Bonnes-Mares Grand Cru,4.5,1208
Pinot Noir,fr,Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.5,1206
Pinot Noir,fr,Bâtard-Montrachet Grand Cru,4.5,1182
Pinot Noir,fr,Champagne,4.5,1021
Pinot Noir,fr,Brut Rosé Champagne,4.5,830
Pinot Noir,fr,Terrasse à l'Ombre Côtes du Rhône,4.5,819
Pinot Noir,fr,Montrachet Grand Cru Blanc,4.5,700
Pinot Noir,fr,Vosne-Romanée 1er Cru 'Aux Malconsorts',4.5,681
Pinot Noir,fr,Clos de Bèze Grand Cru,4.5,635
Pinot Noir,fr,Chambertin-Clos-de-Beze Grand Cru,4.5,611
Pinot Noir,fr,MV Rosé,4.5,588
Pinot Noir,fr,La Landonne Côte-Rôtie,4.5,584
Pinot Noir,fr,Bonnes Mares Grand Cru,4.5,554
Pinot Noir,fr,Châteauneuf-du-Pape Amiral G,4.5,536
Pinot Noir,fr,Amour de Deutz Millesimé Rosé Brut Champagne,4.5,536
