Grape,Country,Wine name,Wine rating average,Wine ratings count
Shiraz/Syrah,au,Grange,4.7,24356
Shiraz/Syrah,za,Book 17 XVII,4.7,814
Shiraz/Syrah,au,The Laird,4.7,627
Shiraz/Syrah,za,The Black Lion,4.7,476
Shiraz/Syrah,za,Vin de Constance (Natural Sweet),4.6,13210
Shiraz/Syrah,za,888 Pinotage Gold,4.6,234
Shiraz/Syrah,za,The Journeyman,4.6,231
Shiraz/Syrah,za,Series C,4.5,3027
Shiraz/Syrah,au,The Armagh Shiraz,4.5,2472
Shiraz/Syrah,za,1694 Classification Red,4.5,1841
Shiraz/Syrah,za,The Stork,4.5,1638
Shiraz/Syrah,za,Faith,4.5,1048
Shiraz/Syrah,il,Yarden Katzrin,4.5,894
Shiraz/Syrah,za,Reserve Chardonnay,4.5,396
Shiraz/Syrah,au,802.A Superblend,4.5,66
Shiraz/Syrah,au,St. Henri Shiraz,4.4,17326
Shiraz/Syrah,za,Fusion V,4.4,12877
Shiraz/Syrah,za,Nebukadnesar,4.4,3609
Shiraz/Syrah,za,Series M,4.4,2995
Shiraz/Syrah,za,Pinotage,4.4,2063
Shiraz/Syrah,au,Ares,4.4,1995
Shiraz/Syrah,au,RWT Bin 798 Shiraz,4.4,1975
Shiraz/Syrah,za,Reserve Pinotage,4.4,1891
Shiraz/Syrah,za,V Red,4.4,1715
Shiraz/Syrah,za,The Mackenzie,4.4,1220
Shiraz/Syrah,za,Chardonnay,4.4,1031
Shiraz/Syrah,au,Attunga 1865 Shiraz,4.4,371
Shiraz/Syrah,au,Aphrodite,4.4,367
Shiraz/Syrah,au,Dogs of the Barossa Shiraz,4.4,264
Shiraz/Syrah,za,Estate Reserve Viognier,4.4,257
Shiraz/Syrah,au,Chardonnay,4.4,201
Shiraz/Syrah,au,Nine Popes,4.3,2118
Shiraz/Syrah,za,Crescendo,4.3,1347
Shiraz/Syrah,za,B Bordicon Blend,4.3,1088
Shiraz/Syrah,za,Kevin Arnold Shiraz,4.2,6987
