wine_name,taste_keywords,nb_keywords,country_name,wine_rating_avg,wine_ratings_count
'Giulio Ferrari' Riserva del Fondatore,"citrus,coffee,cream,green apple,toast",5,Italie,4.6,12592
5 Puttonyos Aszú (Blue Label),"citrus,coffee,cream,green apple,toast",5,Hongrie,4.4,11106
Aconcagua Valley,"citrus,coffee,cream,green apple,toast",5,Chili,4.5,18482
Aile d'Argent Blanc Bordeaux,"citrus,coffee,cream,green apple,toast",5,France,4.2,4790
Alexander Valley Cabernet Sauvignon,"citrus,coffee,cream,green apple,toast",5,États-Unis,4.4,46066
Amarone della Valpolicella Classico,"citrus,coffee,cream,green apple,toast",5,Italie,4.4,18720
Amour de Deutz Millesimé Rosé Brut Champagne,"citrus,coffee,cream,green apple,toast",5,France,4.5,536
Amour de Deutz Millésimé Brut Champagne,"citrus,coffee,cream,green apple,toast",5,France,4.5,5532
Barbaresco Rabajà,"citrus,coffee,cream,green apple,toast",5,Italie,4.3,5469
Barolo Riserva,"citrus,coffee,cream,green apple,toast",5,Italie,4.3,12663
Barsac (Premier Grand Cru Classé),"citrus,coffee,cream,green apple,toast",5,France,4.4,6028
Beaune 1er Cru 'Clos des Mouches' Blanc,"citrus,coffee,cream,green apple,toast",5,France,4.4,3093
Belle Epoque Brut Champagne,"citrus,coffee,cream,green apple,toast",5,France,4.5,20992
Ben Ryé Passito di Pantelleria,"citrus,coffee,cream,green apple,toast",5,Italie,4.5,21351
Blanc,"citrus,coffee,cream,green apple,toast",5,France,4.3,2053
Blanc de Blancs Brut Champagne (Vintage),"citrus,coffee,cream,green apple,toast",5,France,4.3,6400
Blanc de Blancs Brut Champagne Grand Cru,"citrus,coffee,cream,green apple,toast",5,France,4.4,5553
Blanc des Millénaires,"citrus,coffee,cream,green apple,toast",5,France,4.6,5581
Bolgheri Superiore,"citrus,coffee,cream,green apple,toast",5,Italie,4.6,47939
Bolgheri Superiore Sondraia,"citrus,coffee,cream,green apple,toast",5,Italie,4.2,12843
Brunello di Montalcino,"citrus,coffee,cream,green apple,toast",5,Italie,4.4,25989
Brunello di Montalcino Riserva,"citrus,coffee,cream,green apple,toast",5,Italie,4.5,665
Brut Champagne,"citrus,coffee,cream,green apple,toast",5,France,4.6,146377
Brut Champagne (Gold),"citrus,coffee,cream,green apple,toast",5,France,4.4,3874
Brut Cuvée Champagne Rosé,"citrus,coffee,cream,green apple,toast",5,France,4.4,36681
Brut Rosé Champagne,"citrus,coffee,cream,green apple,toast",5,France,4.4,21147
Buisson Renard,"citrus,coffee,cream,green apple,toast",5,France,4.3,2119
Bâtard-Montrachet Grand Cru,"citrus,coffee,cream,green apple,toast",5,France,4.4,347
Cabernet Sauvignon,"citrus,coffee,cream,green apple,toast",5,États-Unis,4.4,28544
Capellanía Reserva,"citrus,coffee,cream,green apple,toast",5,Espagne,4.1,7314
Carruades de Lafite Pauillac,"citrus,coffee,cream,green apple,toast",5,France,4.4,13866
Castello della Sala Cervaro della Sala,"citrus,coffee,cream,green apple,toast",5,Italie,4.4,30203
Castillo Ygay Gran Reserva Especial Tinto,"citrus,coffee,cream,green apple,toast",5,Espagne,4.5,23170
Cava Celler Batlle,"citrus,coffee,cream,green apple,toast",5,Espagne,4.3,1575
Champagne,"citrus,coffee,cream,green apple,toast",5,France,4.5,1021
Chateau Buena Vista Cabernet Sauvignon Napa Valley,"citrus,coffee,cream,green apple,toast",5,États-Unis,4.3,13415
Chevalier-Montrachet Grand Cru,"citrus,coffee,cream,green apple,toast",5,France,4.6,2340
Château Margaux (Premier Grand Cru Classé),"citrus,coffee,cream,green apple,toast",5,France,4.6,45350
Châteauneuf-du-Pape,"citrus,coffee,cream,green apple,toast",5,France,4.2,13917
