winery_id,average_rating,number_of_wines,number_of_wineries
277785,4.8,1,1
266660,4.8,1,1
14919,4.8,1,1
227918,4.7,1,1
82979,4.7,1,1
22222,4.7,1,1
12630,4.7,1,1
11744,4.7,1,1
11610,4.7,1,1
11259,4.7,1,1
8028,4.7,1,1
4173,4.7,1,1
3286,4.7,1,1
1456,4.7,1,1
1380,4.7,1,1
1378,4.7,1,1
11050,4.666666666666667,3,3
156664,4.65,2,2
1301,4.65,2,2
1337,4.639999999999999,5,5
212823,4.633333333333333,3,3
11601,4.625,8,8
2510,4.6000000000000005,3,3
290161,4.6,1,1
283629,4.6,1,1
230207,4.6,1,1
217914,4.6,1,1
203498,4.6,1,1
181238,4.6,1,1
178310,4.6,1,1
157892,4.6,1,1
94901,4.6,1,1
88118,4.6,1,1
47408,4.6,2,2
45756,4.6,1,1
36981,4.6,2,2
36852,4.6,2,2
35755,4.6,1,1
28724,4.6,1,1
26509,4.6,1,1
17605,4.6,1,1
15654,4.6,1,1
14619,4.6,1,1
13091,4.6,1,1
12738,4.6,1,1
12086,4.6,1,1
11693,4.6,1,1
11321,4.6,1,1
11252,4.6,1,1
11240,4.6,1,1
10514,4.6,1,1
7694,4.6,1,1
6900,4.6,1,1
5567,4.6,1,1
5269,4.6,1,1
4957,4.6,1,1
3199,4.6,1,1
3143,4.6,1,1
2744,4.6,1,1
2735,4.6,3,3
2662,4.6,1,1
2412,4.6,1,1
2338,4.6,2,2
2107,4.6,1,1
1962,4.6,1,1
1858,4.6,1,1
1852,4.6,4,4
1850,4.6,1,1
1607,4.6,1,1
1473,4.6,1,1
1413,4.6,1,1
1404,4.6,1,1
1393,4.6,1,1
1344,4.6,1,1
1326,4.6,2,2
1303,4.6,1,1
1274,4.6,1,1
1250,4.6,1,1
1235,4.6,5,5
1523,4.566666666666667,3,3
1270,4.566666666666667,3,3
244652,4.55,2,2
21749,4.55,2,2
16806,4.55,4,4
13804,4.55,2,2
11500,4.55,2,2
7979,4.55,2,2
7747,4.55,2,2
5050,4.55,2,2
4434,4.55,2,2
2788,4.55,2,2
2486,4.55,2,2
1983,4.55,2,2
1586,4.55,2,2
1368,4.55,2,2
1343,4.55,2,2
1314,4.55,4,4
11472,4.533333333333334,6,6
5434,4.533333333333333,3,3
636,4.533333333333333,3,3
11168,4.5200000000000005,5,5
2197,4.52,5,5
10474,4.508333333333333,12,12
297918,4.5,1,1
291570,4.5,1,1
282531,4.5,1,1
278457,4.5,1,1
276827,4.5,1,1
265602,4.5,1,1
245696,4.5,1,1
236776,4.5,1,1
226947,4.5,1,1
226135,4.5,1,1
221018,4.5,1,1
218744,4.5,1,1
204617,4.5,1,1
197168,4.5,1,1
189731,4.5,1,1
184911,4.5,2,2
176722,4.5,2,2
176721,4.5,1,1
118005,4.5,1,1
115575,4.5,1,1
104127,4.5,1,1
97227,4.5,1,1
95627,4.5,1,1
85065,4.5,1,1
78290,4.5,2,2
75712,4.5,1,1
61320,4.5,1,1
60212,4.5,1,1
58558,4.5,1,1
56613,4.5,2,2
55648,4.5,1,1
49280,4.5,3,3
43277,4.5,1,1
41902,4.5,1,1
33504,4.5,1,1
31764,4.5,1,1
31430,4.5,1,1
30580,4.5,1,1
30050,4.5,1,1
29949,4.5,1,1
29919,4.5,1,1
29615,4.5,1,1
29613,4.5,1,1
28712,4.5,2,2
27282,4.5,1,1
25698,4.5,1,1
25531,4.5,1,1
21273,4.5,1,1
20867,4.5,1,1
20732,4.5,1,1
20435,4.5,1,1
18710,4.5,1,1
17977,4.5,1,1
17961,4.5,1,1
17793,4.5,1,1
15356,4.5,2,2
14519,4.5,1,1
13958,4.5,2,2
12574,4.5,1,1
12058,4.5,1,1
11714,4.5,2,2
11633,4.5,1,1
11539,4.5,1,1
11391,4.5,2,2
11258,4.5,1,1
11224,4.5,1,1
11177,4.5,1,1
11082,4.5,1,1
