name,ratings_average,ratings_count,acidity,fizziness,sweetness,tannin
Cabernet Sauvignon,4.8,2941,3.304091,0.0,1.7583516,3.3939934
Amarone della Valpolicella Classico Riserva,4.8,587,2.4278033,0.0,3.4217513,2.327957
Fratini Bolgheri Superiore,4.8,153,3.3064845,0.0,1.3946093,3.7667968
Mágico,4.8,146,3.609973,0.0,2.0852482,4.1008725
Cristal Rosé Vinothèque,4.8,88,4.5361114,4.1925,1.7896918,3.3338401
Batard-Montrachet Grand Cru,4.8,34,3.2878573,0.0,1.9094286,3.3338401
Unico,4.7,45140,3.7048488,0.0,1.7812482,3.419756
Sauternes,4.7,44126,4.338159,0.0,4.8703017,3.3338401
Special Selection Cabernet Sauvignon,4.7,41236,3.3095143,0.0,1.9168729,3.2025323
Pomerol,4.7,32157,3.3773994,0.0,1.9707285,3.4428678
Grange,4.7,24356,3.046586,0.0,2.106661,3.2378497
Toscana,4.7,16284,3.1028588,0.0,1.9779595,3.1404293
Unico Reserva Especial Edición,4.7,13025,3.680081,0.0,1.8340577,3.483004
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564,4.508223,4.3527966,1.7896918,3.3338401
Amarone della Valpolicella Classico,4.7,8900,2.3609643,0.0,3.31935,2.3114297
Amarone della Valpolicella Monte Lodoletta,4.7,7947,2.235851,0.0,3.3512034,2.4933603
Châteauneuf-du-Pape,4.7,7544,3.0970612,0.0,2.080589,2.7852674
P2 Plénitude Brut Champagne,4.7,7543,4.272861,4.240509,1.7896918,3.3338401
Harlan Estate Red,4.7,7231,3.8477607,0.0,1.9023863,3.5947363
Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,6597,4.108734,0.0,1.9145561,2.5899088
Cerretalto Brunello di Montalcino,4.7,5373,3.8362374,0.0,1.7550168,3.6501353
Barolo Riserva Monfortino,4.7,5013,4.513654,0.0,1.8228105,4.350989
Chambertin Grand Cru,4.7,3401,4.1259604,0.0,1.904137,2.6704326
IX Estate Red,4.7,2810,3.8290682,0.0,1.8448794,3.6350627
Veneto Alzero Cabernet,4.7,2600,2.300103,0.0,2.6875129,2.9364958
Clos du Mesnil,4.7,2471,4.546456,4.223847,1.7896918,3.3338401
Collection,4.7,2184,4.5422707,4.393909,1.7896918,3.3338401
Pomerol,4.7,2164,3.4015212,0.0,1.9155464,3.2912078
Harlequin,4.7,1276,2.6530778,0.0,2.439991,3.0811121
Don PX Convento Selección,4.7,1224,2.2442873,0.0,4.059529,3.3338401
La Mattonara Amarone della Valpolicella Classico Riserva,4.7,1196,2.2975316,0.0,3.3520465,2.2620783
Recioto della Valpolicella Classico,4.7,1045,3.5956354455095862,0.0,1.7896918,3.3338401
Book 17 XVII,4.7,814,3.7373917,0.0,1.6803064,3.4206069
