name,ratings_average,total_rating,users_count
Amarone della Valpolicella Classico Riserva,4.8,587,4270717
Fratini Bolgheri Superiore,4.8,153,4270717
Mágico,4.8,146,2264396
Cristal Rosé Vinothèque,4.8,88,5973301
Batard-Montrachet Grand Cru,4.8,34,5973301
Unico,4.7,45140,2264396
Sauternes,4.7,45064,5973301
Special Selection Cabernet Sauvignon,4.7,41236,12273684
Grange,4.7,24356,1022965
Unico Reserva Especial Edición,4.7,13025,2264396
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564,5973301
Amarone della Valpolicella Monte Lodoletta,4.7,7947,4270717
P2 Plénitude Brut Champagne,4.7,7543,5973301
Harlan Estate Red,4.7,7231,12273684
Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,6597,5973301
Cerretalto Brunello di Montalcino,4.7,5373,4270717
Barolo Riserva Monfortino,4.7,5013,4270717
IX Estate Red,4.7,2810,12273684
Veneto Alzero Cabernet,4.7,2600,4270717
Clos du Mesnil,4.7,2471,5973301
Collection,4.7,2184,5973301
Montrachet Grand Cru,4.7,1739,5973301
Harlequin,4.7,1276,4270717
Don PX Convento Selección,4.7,1224,2264396
La Mattonara Amarone della Valpolicella Classico Riserva,4.7,1196,4270717
Recioto della Valpolicella Classico,4.7,1045,4270717
Book 17 XVII,4.7,814,269649
The Laird,4.7,627,1022965
De Buris Amarone della Valpolicella Classico Riserva,4.7,574,4270717
Eszencia,4.7,488,102235
The Black Lion,4.7,476,269649
Cristal Vinothèque,4.7,426,5973301
La Vina de Corteo,4.7,374,2264396
Échézeaux Grand Cru,4.7,359,5973301
Fieramonte Amarone della Valpolicella Riserva,4.7,315,4270717
Permassimo,4.7,186,4270717
Ligne de Crete Les Grandes Vignes Hermitage,4.7,76,5973301
Zeltinger Sonnenuhr Beerenauslese,4.7,44,2549989
Scharzhofberger Riesling Eiswein,4.7,30,2549989
Brut Champagne,4.6,146377,5973301
Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,132986,5973301
Pauillac (Premier Grand Cru Classé),4.6,112898,5973301
Sassicaia,4.6,107646,4270717
Opus One,4.6,77053,12273684
Valbuena 5º,4.6,72784,2264396
Bolgheri Superiore,4.6,71099,4270717
Almaviva,4.6,48075,326757
Château Margaux (Premier Grand Cru Classé),4.6,45350,5973301
Cristal Brut Champagne (Millésimé),4.6,42456,5973301
Pessac-Léognan (Premier Grand Cru Classé),4.6,39605,5973301
Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521,5973301
Tenuta Tignanello 'Solaia',4.6,33143,4270717
Insignia,4.6,30674,12273684
Grande Cuvée,4.6,28513,5973301
Clos Apalta,4.6,23256,326757
Vintage,4.6,16918,5973301
Rutherford,4.6,16322,12273684
Cabernet Sauvignon (Signature),4.6,13730,12273684
La Piu Belle,4.6,13420,326757
Vin de Constance (Natural Sweet),4.6,13210,269649
Sir Winston Churchill Brut Champagne,4.6,12873,5973301
'Giulio Ferrari' Riserva del Fondatore,4.6,12592,4270717
Sperss Barolo,4.6,10950,4270717
Kurni Marche,4.6,10261,4270717
Nosotros Single Vineyard Nómade,4.6,9995,629532
Red,4.6,9869,12273684
CASK 23 Cabernet Sauvignon,4.6,9464,12273684
L'Hermitage,4.6,8592,5973301
VIK,4.6,8493,326757
R.D Extra Brut Champagne (Récemment Dégorgé),4.6,7737,5973301
Continuum Estate,4.6,6949,12273684
Rubicon,4.6,6421,12273684
Pingus,4.6,6013,2264396
Cristal Rosé Brut Champagne (Millésimé),4.6,5883,5973301
Blanc des Millénaires,4.6,5581,5973301
Côte-Rôtie La Turque,4.6,4891,5973301
La Nieta,4.6,4508,2264396
Côte-Rôtie La Mouline,4.6,4380,5973301
Côte-Rôtie La Landonne,4.6,4068,5973301
Les Pavots,4.6,4010,12273684
Sorì Tildìn (Barbaresco) Langhe,4.6,3955,4270717
Lodovico,4.6,3860,4270717
Sorì San Lorenzo,4.6,3857,4270717
Veneto Rosso del Bepi,4.6,3747,4270717
Malleolus de Sanchomartin,4.6,3655,2264396
Rosé,4.6,3605,5973301
Musigny Grand Cru (Cuveé Vieilles Vignes),4.6,3533,5973301
Cirsion Rioja,4.6,3474,2264396
Viña El Pison,4.6,3027,2264396
Au Paradis Cabernet Sauvignon,4.6,3004,12273684
Campo del Titari Amarone della Valpolicella Classico Riserva,4.6,2946,4270717
Costa Russi (Barbaresco) Langhe,4.6,2876,4270717
Tokaji Aszú 6 Puttonyos,4.6,2805,102235
Calcarole Amarone della Valpolicella Classico,4.6,2757,4270717
Alabaster,4.6,2708,2264396
Chevalier-Montrachet Grand Cru,4.6,2340,5973301
La Joie,4.6,2285,12273684
Contador Rioja,4.6,2240,2264396
Campo Inferi Amarone della Valpolicella Classico Riserva,4.6,2112,4270717
Montrachet Grand Cru Marquis de Laguiche,4.6,1970,5973301
Pignan Châteauneuf-du-Pape Réserve Rouge,4.6,1881,5973301
Tenuta Guado al Tasso Matarocchio,4.6,1875,4270717
Scharzhofberger Riesling Auslese,4.6,1666,2549989
Chateauneuf-du-Pape Réserve des Célestins,4.6,1633,5973301
Maya,4.6,1570,12273684
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,1557,12273684
Millecento Brunello di Montalcino Riserva,4.6,1364,4270717
Adrianna Vineyard Mundus Bacillus Terrae Malbec,4.6,1358,629532
Aquilon Garnacha,4.6,1343,2264396
Vin de Pays de l'Hérault Blanc,4.6,1209,5973301
Reserve,4.6,1175,12273684
