winery_id,wines_name,average_rating,number_of_wines,total_rating,avg_rating_count
277785,Fratini Bolgheri Superiore,4.8,1,153,153.0
266660,Batard-Montrachet Grand Cru,4.8,1,34,34.0
14919,Cabernet Sauvignon,4.8,1,2941,2941.0
227918,Permassimo,4.7,1,186,186.0
82979,Toscana,4.7,1,16284,16284.0
22222,Pomerol,4.7,1,2164,2164.0
12630,Pomerol,4.7,1,32157,32157.0
11744,Chambertin Grand Cru,4.7,1,3401,3401.0
11610,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,1,6597,6597.0
11259,Montrachet Grand Cru,4.7,1,516,516.0
8028,Sauternes,4.7,1,44126,44126.0
4173,Échézeaux Grand Cru,4.7,1,359,359.0
3286,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,1,9564,9564.0
1456,IX Estate Red,4.7,1,2810,2810.0
1380,Harlan Estate Red,4.7,1,7231,7231.0
1378,The Laird,4.7,1,627,627.0
11050,"Unico Reserva Especial Edición,Unico,Valbuena 5º",4.666666666666667,3,130949,43649.666666666664
156664,"Amancio,Mágico",4.65,2,2222,1111.0
1301,"Cabernet Sauvignon,Special Selection Cabernet Sauvignon",4.65,2,199180,99590.0
1337,"Vintage,Rosé,Collection,Clos du Mesnil,Grande Cuvée",4.639999999999999,5,53691,10738.2
212823,"Brut Champagne,Brut Rosé Champagne,P2 Plénitude Brut Champagne",4.633333333333333,3,167667,55889.0
11601,"Amarone della Valpolicella Classico,Valpolicella Classico Superiore,Veneto Rosso del Bepi,Recioto della Valpolicella Classico,Amarone della Valpolicella Classico Riserva,Veneto Alzero Cabernet,Ca’ del Merlo Rosso Veneto,Recioto della Valpolicella Classico Riserva",4.625,8,31366,3920.75
2510,"Book 17 XVII,Fusion V,The Black Lion",4.6000000000000005,3,14167,4722.333333333333
290161,Clos Apalta,4.6,1,23256,23256.0
283629,Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',4.6,1,34,34.0
230207,Touran,4.6,1,274,274.0
217914,EABA,4.6,1,151,151.0
203498,Red,4.6,1,4933,4933.0
181238,Nosotros Single Vineyard Nómade,4.6,1,9995,9995.0
178310,Corton-Charlemagne Grand Cru,4.6,1,719,719.0
157892,Lithology Cabernet Sauvignon,4.6,1,148,148.0
94901,Red,4.6,1,3639,3639.0
88118,Aszú 6 Puttonyos Tokaj,4.6,1,54,54.0
47408,"Clio,La Vina de Corteo",4.6,2,24927,12463.5
45756,Collection Vintage 2000 Brut,4.6,1,58,58.0
36981,"VIK,La Piu Belle",4.6,2,21913,10956.5
36852,"40 Anos Tawny Port,Colheita Porto Branco",4.6,2,122,61.0
35755,Les Riceys Cuvée Cyriès Brut Millesimé Champagne,4.6,1,43,43.0
28724,Corton-Charlemagne Grand Cru,4.6,1,35,35.0
26509,Gran Buig Priorat,4.6,1,125,125.0
17605,Almaviva,4.6,1,48075,48075.0
15654,Perpiero,4.6,1,351,351.0
14619,Bure Alto Amarone  della Valpolicella Classico Riserva,4.6,1,132,132.0
13091,Dieci Brunello di Montalcino,4.6,1,43,43.0
12738,Croce Del Gal Riserva Amarone della Valpolicella Classico,4.6,1,188,188.0
12086,Aquilon Garnacha,4.6,1,1343,1343.0
11693,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,1,1557,1557.0
11321,Saint-Émilion Grand Cru,4.6,1,5390,5390.0
11252,Calcarole Amarone della Valpolicella Classico,4.6,1,2757,2757.0
11240,Aegusa,4.6,1,81,81.0
10514,Graacher Himmelreich Riesling Auslese 'Goldkapsel',4.6,1,119,119.0
7694,L'Amarone del Maestro Fornaser,4.6,1,1031,1031.0
6900,A50 Amarone della Valpolicella,4.6,1,100,100.0
5567,Bassolino di Sopra Brunello di Montalcino,4.6,1,174,174.0
5269,Montrachet Grand Cru,4.6,1,495,495.0
4957,Finca Garbet,4.6,1,573,573.0
3199,Cabernet Sauvignon Coeur De Vallée,4.6,1,544,544.0
3143,Quiñon de Valmira,4.6,1,377,377.0
2744,La Nieta,4.6,1,4508,4508.0
2735,"Don PX Selección,Don PX Convento Selección,Ginés Liébana Pedro Ximénez",4.6,3,1670,556.6666666666666
2662,Vin de Constance (Natural Sweet),4.6,1,13210,13210.0
2412,Rubicon,4.6,1,6421,6421.0
2338,"Zeltinger Sonnenuhr Beerenauselese Riesling,Zeltinger Sonnenuhr Beerenauslese",4.6,2,93,46.5
2107,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,1,38521,38521.0
1962,The Journeyman,4.6,1,231,231.0
1858,Blanc des Millénaires,4.6,1,5581,5581.0
1852,"Amarone della Valpolicella Monte Lodoletta,Valpolicella Superiore Monte Lodoletta,Recioto della Valpolicella (Monte Lodoletta),Nettare Veneto Bianco",4.6,4,21285,5321.25
1850,Chateauneuf-du-Pape Réserve des Célestins,4.6,1,1633,1633.0
